allele_name,pipeline_names,similar_names
IGHD1-2J4B*01, IGHD1-2J4B*01, 
IGHD1-2J4B*02, IGHD1-2J4B*02, 
IGHD1-2J4B*03, IGHD1-2J4B*03, 
IGHD1-2J4B*04, IGHD1-2J4B*04, 
IGHD1-2J4B*05, IGHD1-2J4B*05, 
IGHD1-2J4B*06, IGHD1-2J4B*06, 
IGHD1-2J4B*08, IGHD1-2J4B*08, 
IGHD1-2J4B*09, IGHD1-2J4B*09, 
IGHD1-2J4B*10, IGHD1-2J4B*10, 
IGHD1-64ZP*01, IGHD1-64ZP*01, 
IGHD1-64ZP*03, IGHD1-64ZP*03, 
IGHD1-64ZP*05, IGHD1-64ZP*05, 
IGHD1-64ZP*06, IGHD1-64ZP*06, 
IGHD1-74CP*01, IGHD1-74CP*01, 
IGHD1-74CP*02, IGHD1-74CP*02, 
IGHD1-74CP*03, IGHD1-74CP*03, 
IGHD1-74CP*04, IGHD1-74CP*04, 
IGHD1-74CP*05, IGHD1-74CP*05, 
IGHD1-74CP*07, IGHD1-74CP*07, 
IGHD1-75EJ*01, IGHD1-75EJ*01, 
IGHD1-75EJ*02, IGHD1-75EJ*02, 
IGHD1-75EJ*03, IGHD1-75EJ*03, 
IGHD1-BAAI*01, IGHD1-BAAI*01, 
IGHD1-BAAI*02, IGHD1-BAAI*02, 
IGHD1-BAAI*03, IGHD1-BAAI*03, 
IGHD1-DWON*01, IGHD1-DWON*01, 
IGHD1-DWON*02, IGHD1-DWON*02, 
IGHD1-DWON*04, IGHD1-DWON*04, 
IGHD1-DWON*05, IGHD1-DWON*05, 
IGHD1-DWON*06, IGHD1-DWON*06, 
IGHD1-X76R*01, IGHD1-X76R*01, 
IGHD1-X76R*02, IGHD1-X76R*02, 
IGHD1-X76R*03, IGHD1-X76R*03, 
IGHD1-X76R*04, IGHD1-X76R*04, 
IGHD1-X76R*05, IGHD1-X76R*05, 
IGHD1-X76R*06, IGHD1-X76R*06, 
IGHD1-X76R*08, IGHD1-X76R*08, 
IGHD2-5Q35*01, IGHD2-5Q35*01, 
IGHD2-5Q35*02, IGHD2-5Q35*02, 
IGHD2-B3VX*01, IGHD2-B3VX*01, 
IGHD2-B4TS*02, IGHD2-B4TS*02, 
IGHD2-B4TS*03, IGHD2-B4TS*03, 
IGHD2-B4TS*04, IGHD2-B4TS*04, 
IGHD2-B4TS*05, IGHD2-B4TS*05, 
IGHD2-B4TS*06, IGHD2-B4TS*06, 
IGHD2-B4TS*07, IGHD2-B4TS*07, 
IGHD2-QKRU*01, IGHD2-QKRU*01, 
IGHD2-QKRU*02, IGHD2-QKRU*02, 
IGHD2-QKRU*03, IGHD2-QKRU*03, 
IGHD2-QKRU*04, IGHD2-QKRU*04, 
IGHD2-QKRU*05, IGHD2-QKRU*05, 
