vdjbase_name,airr_file,airr_repertoire_id
P37_I01_S1,P37_PRJNA1207082.json,125_13_PRJNA1207082_IGK
P37_I02_S1,P37_PRJNA1207082.json,133_13_PRJNA1207082_IGK
P37_I03_S1,P37_PRJNA1207082.json,13D132_PRJNA1207082_IGK
P37_I04_S1,P37_PRJNA1207082.json,146_13_PRJNA1207082_IGK
P37_I05_S1,P37_PRJNA1207082.json,15C172_PRJNA1207082_IGK
P37_I06_S1,P37_PRJNA1207082.json,174-13_PRJNA1207082_IGK
P37_I07_S1,P37_PRJNA1207082.json,194_13_PRJNA1207082_IGK
P37_I08_S1,P37_PRJNA1207082.json,275_12_PRJNA1207082_IGK
P37_I09_S1,P37_PRJNA1207082.json,315_04_PRJNA1207082_IGK
P37_I10_S1,P37_PRJNA1207082.json,33967_PRJNA1207082_IGK
P37_I11_S1,P37_PRJNA1207082.json,6S0_PRJNA1207082_IGK
P37_I12_S1,P37_PRJNA1207082.json,DHIC_PRJNA1207082_IGK
P37_I13_S1,P37_PRJNA1207082.json,K397_PRJNA1207082_IGK
P37_I14_S1,P37_PRJNA1207082.json,K410_PRJNA1207082_IGK
P37_I15_S1,P37_PRJNA1207082.json,K916_PRJNA1207082_IGK
P37_I16_S1,P37_PRJNA1207082.json,L211_PRJNA1207082_IGK
P37_I17_S1,P37_PRJNA1207082.json,M21_PRJNA1207082_IGK
P37_I18_S1,P37_PRJNA1207082.json,MA277_PRJNA1207082_IGK
P37_I19_S1,P37_PRJNA1207082.json,O3J_PRJNA1207082_IGK
P37_I20_S1,P37_PRJNA1207082.json,RAi15_PRJNA1207082_IGK
P37_I21_S1,P37_PRJNA1207082.json,RBj16_PRJNA1207082_IGK
P37_I22_S1,P37_PRJNA1207082.json,RBo18_PRJNA1207082_IGK
P37_I23_S1,P37_PRJNA1207082.json,RBr15_PRJNA1207082_IGK
P37_I24_S1,P37_PRJNA1207082.json,RBw15_PRJNA1207082_IGK
P37_I25_S1,P37_PRJNA1207082.json,RCj20_PRJNA1207082_IGK
P37_I26_S1,P37_PRJNA1207082.json,RCn18_PRJNA1207082_IGK
P37_I27_S1,P37_PRJNA1207082.json,RCp16_PRJNA1207082_IGK
P37_I28_S1,P37_PRJNA1207082.json,RCs15_PRJNA1207082_IGK
P37_I29_S1,P37_PRJNA1207082.json,RCv16_PRJNA1207082_IGK
P37_I30_S1,P37_PRJNA1207082.json,RCz16_PRJNA1207082_IGK
P37_I31_S1,P37_PRJNA1207082.json,RDe18_PRJNA1207082_IGK
P37_I32_S1,P37_PRJNA1207082.json,RDq15_PRJNA1207082_IGK
P37_I33_S1,P37_PRJNA1207082.json,RDr15_PRJNA1207082_IGK
P37_I34_S1,P37_PRJNA1207082.json,RDt18_PRJNA1207082_IGK
P37_I35_S1,P37_PRJNA1207082.json,REk15_PRJNA1207082_IGK
P37_I36_S1,P37_PRJNA1207082.json,RFj17_PRJNA1207082_IGK
P37_I37_S1,P37_PRJNA1207082.json,RFq19_PRJNA1207082_IGK
P37_I38_S1,P37_PRJNA1207082.json,RFr13_PRJNA1207082_IGK
P37_I39_S1,P37_PRJNA1207082.json,RGi17_PRJNA1207082_IGK
P37_I40_S1,P37_PRJNA1207082.json,RGq13_PRJNA1207082_IGK
P37_I41_S1,P37_PRJNA1207082.json,RGr15_PRJNA1207082_IGK
P37_I42_S1,P37_PRJNA1207082.json,RGt19_PRJNA1207082_IGK
P37_I43_S1,P37_PRJNA1207082.json,RGw18_PRJNA1207082_IGK
P37_I44_S1,P37_PRJNA1207082.json,RHe16_PRJNA1207082_IGK
P37_I45_S1,P37_PRJNA1207082.json,RHu20_PRJNA1207082_IGK
P37_I46_S1,P37_PRJNA1207082.json,RIb18_PRJNA1207082_IGK
P37_I47_S1,P37_PRJNA1207082.json,RIr15_PRJNA1207082_IGK
P37_I48_S1,P37_PRJNA1207082.json,RIy10_PRJNA1207082_IGK
P37_I49_S1,P37_PRJNA1207082.json,RJb19_PRJNA1207082_IGK
P37_I50_S1,P37_PRJNA1207082.json,RJs14_PRJNA1207082_IGK
P37_I51_S1,P37_PRJNA1207082.json,RJv17_PRJNA1207082_IGK
P37_I52_S1,P37_PRJNA1207082.json,RKb19_PRJNA1207082_IGK
P37_I53_S1,P37_PRJNA1207082.json,RKq18_PRJNA1207082_IGK
P37_I54_S1,P37_PRJNA1207082.json,RLf17_PRJNA1207082_IGK
P37_I55_S1,P37_PRJNA1207082.json,RLi17_PRJNA1207082_IGK
P37_I56_S1,P37_PRJNA1207082.json,RLi18_PRJNA1207082_IGK
P37_I57_S1,P37_PRJNA1207082.json,RLk15_PRJNA1207082_IGK
P37_I58_S1,P37_PRJNA1207082.json,RLk17_PRJNA1207082_IGK
P37_I59_S1,P37_PRJNA1207082.json,RLs14_PRJNA1207082_IGK
P37_I60_S1,P37_PRJNA1207082.json,RLw17_PRJNA1207082_IGK
P37_I61_S1,P37_PRJNA1207082.json,RNo15_PRJNA1207082_IGK
P37_I62_S1,P37_PRJNA1207082.json,ROa17_PRJNA1207082_IGK
P37_I63_S1,P37_PRJNA1207082.json,ROi16_PRJNA1207082_IGK
P37_I64_S1,P37_PRJNA1207082.json,ROi17_PRJNA1207082_IGK
P37_I65_S1,P37_PRJNA1207082.json,ROv16_PRJNA1207082_IGK
P37_I66_S1,P37_PRJNA1207082.json,RPe16_PRJNA1207082_IGK
P37_I67_S1,P37_PRJNA1207082.json,RPh17_PRJNA1207082_IGK
P37_I68_S1,P37_PRJNA1207082.json,RPs18_PRJNA1207082_IGK
P37_I69_S1,P37_PRJNA1207082.json,RPw17_PRJNA1207082_IGK
P37_I70_S1,P37_PRJNA1207082.json,RPz16_PRJNA1207082_IGK
P37_I71_S1,P37_PRJNA1207082.json,RQa19_PRJNA1207082_IGK
P37_I72_S1,P37_PRJNA1207082.json,RQh20_PRJNA1207082_IGK
P37_I73_S1,P37_PRJNA1207082.json,RQp17_PRJNA1207082_IGK
P37_I74_S1,P37_PRJNA1207082.json,RQr11_PRJNA1207082_IGK
P37_I75_S1,P37_PRJNA1207082.json,RQr20_PRJNA1207082_IGK
P37_I76_S1,P37_PRJNA1207082.json,RQw15_PRJNA1207082_IGK
P37_I77_S1,P37_PRJNA1207082.json,RRb11_PRJNA1207082_IGK
P37_I78_S1,P37_PRJNA1207082.json,RRb17_PRJNA1207082_IGK
P37_I79_S1,P37_PRJNA1207082.json,RRb19_PRJNA1207082_IGK
P37_I80_S1,P37_PRJNA1207082.json,RRr14_PRJNA1207082_IGK
P37_I81_S1,P37_PRJNA1207082.json,RRt20_PRJNA1207082_IGK
P37_I82_S1,P37_PRJNA1207082.json,RRv14_PRJNA1207082_IGK
P37_I83_S1,P37_PRJNA1207082.json,RSb17_PRJNA1207082_IGK
P37_I84_S1,P37_PRJNA1207082.json,RSf16_PRJNA1207082_IGK
P37_I85_S1,P37_PRJNA1207082.json,RSo20_PRJNA1207082_IGK
P37_I86_S1,P37_PRJNA1207082.json,RSq16_PRJNA1207082_IGK
P37_I87_S1,P37_PRJNA1207082.json,RSq17_PRJNA1207082_IGK
P37_I88_S1,P37_PRJNA1207082.json,RTe17_PRJNA1207082_IGK
P37_I89_S1,P37_PRJNA1207082.json,RTm17_PRJNA1207082_IGK
P37_I90_S1,P37_PRJNA1207082.json,RTo20_PRJNA1207082_IGK
P37_I91_S1,P37_PRJNA1207082.json,RTt13_PRJNA1207082_IGK
P37_I92_S1,P37_PRJNA1207082.json,RUg16_PRJNA1207082_IGK
P37_I93_S1,P37_PRJNA1207082.json,RUL20_PRJNA1207082_IGK
P37_I94_S1,P37_PRJNA1207082.json,RUp16_PRJNA1207082_IGK
P37_I95_S1,P37_PRJNA1207082.json,RVe17_PRJNA1207082_IGK
P37_I96_S1,P37_PRJNA1207082.json,RVh17_PRJNA1207082_IGK
P37_I97_S1,P37_PRJNA1207082.json,RVi14_PRJNA1207082_IGK
P37_I98_S1,P37_PRJNA1207082.json,RVn17_PRJNA1207082_IGK
P37_I99_S1,P37_PRJNA1207082.json,RVu20_PRJNA1207082_IGK
P37_I100_S1,P37_PRJNA1207082.json,RWb17_PRJNA1207082_IGK
P37_I101_S1,P37_PRJNA1207082.json,RWc20_PRJNA1207082_IGK
P37_I102_S1,P37_PRJNA1207082.json,RWq18_PRJNA1207082_IGK
P37_I103_S1,P37_PRJNA1207082.json,RYf17_PRJNA1207082_IGK
P37_I104_S1,P37_PRJNA1207082.json,RYk15_PRJNA1207082_IGK
P37_I105_S1,P37_PRJNA1207082.json,RYL18_PRJNA1207082_IGK
P37_I106_S1,P37_PRJNA1207082.json,RYs15_PRJNA1207082_IGK
