allele_name,pipeline_names,similar_names
IGLJ2-4GA4*01, IGLJ2-4GA4*01, 
IGLJ2-4GA4*04, IGLJ2-4GA4*04, 
IGLJ2-LMZW*01, IGLJ2-LMZW*01, 
IGLJ2-XOP7*01, IGLJ2-XOP7*01, 
IGLJ2-XOP7*02, IGLJ2-XOP7*02, 
IGLJ2-XOP7*03, IGLJ2-XOP7*03, 
IGLJ3-3R4H*01, IGLJ3-3R4H*01, 
IGLJ3-3R4H*02, IGLJ3-3R4H*02, 
IGLJ3-3R4H*03, IGLJ3-3R4H*03, 
IGLJ3-JLWC*01, IGLJ3-JLWC*01, 
IGLV1-24UP*01, IGLV1-24UP*01, 
IGLV1-24UP*08, IGLV1-24UP*08, 
IGLV1-24UP*09, IGLV1-24UP*09, 
IGLV1-24UP*10, IGLV1-24UP*10, 
IGLV1-24UP*11, IGLV1-24UP*11, 
IGLV1-24UP*12, IGLV1-24UP*12, 
IGLV1-24UP*13, IGLV1-24UP*13, 
IGLV1-24UP*14, IGLV1-24UP*14, 
IGLV1-24UP*15, IGLV1-24UP*15, 
IGLV1-24UP*16, IGLV1-24UP*16, 
IGLV1-42NW*02, IGLV1-42NW*02, 
IGLV1-42NW*03, IGLV1-42NW*03, 
IGLV1-6UWF*01, IGLV1-6UWF*01, 
IGLV1-6UWF*02, IGLV1-6UWF*02, 
IGLV1-6UWF*06, IGLV1-6UWF*06, 
IGLV1-6UWF*07, IGLV1-6UWF*07, 
IGLV1-6UWF*08, IGLV1-6UWF*08, 
IGLV1-6UWF*09, IGLV1-6UWF*09, 
IGLV1-ANT2*01, IGLV1-ANT2*01, 
IGLV1-ANT2*02, IGLV1-ANT2*02, 
IGLV1-ANT2*05, IGLV1-ANT2*05, 
IGLV1-ANT2*06, IGLV1-ANT2*06, 
IGLV1-HYAR*01, IGLV1-HYAR*01, 
IGLV1-OISC*01, IGLV1-OISC*01, 
IGLV1-OISC*02, IGLV1-OISC*02, 
IGLV1-OISC*03, IGLV1-OISC*03, 
IGLV1-OISC*04, IGLV1-OISC*04, 
IGLV1-OISC*05, IGLV1-OISC*05, 
IGLV1-OMXR*01, IGLV1-OMXR*01, 
IGLV1-OMXR*02, IGLV1-OMXR*02, 
IGLV1-OMXR*03, IGLV1-OMXR*03, 
IGLV1-SUCI*01, IGLV1-SUCI*01, 
IGLV1-TV5K*01, IGLV1-TV5K*01, 
IGLV1-TV5K*02, IGLV1-TV5K*02, 
IGLV1-UABS*02, IGLV1-UABS*02, 
IGLV1-UABS*03, IGLV1-UABS*03, 
IGLV1-UABS*06, IGLV1-UABS*06, 
IGLV1-UABS*07, IGLV1-UABS*07, 
IGLV1-UABS*10, IGLV1-UABS*10, 
IGLV1-UABS*11, IGLV1-UABS*11, 
IGLV1-UABS*12, IGLV1-UABS*12, 
IGLV1-WZN2*01, IGLV1-WZN2*01, 
IGLV1-YE7M*03, IGLV1-YE7M*03, 
IGLV1-YE7M*04, IGLV1-YE7M*04, 
IGLV1-YE7M*05, IGLV1-YE7M*05, 
IGLV1-YE7M*06, IGLV1-YE7M*06, 
IGLV1-YE7M*07, IGLV1-YE7M*07, 
IGLV1-YE7M*08, IGLV1-YE7M*08, 
IGLV1-YE7M*09, IGLV1-YE7M*09, 
IGLV1-YE7M*10, IGLV1-YE7M*10, 
IGLV10-2LPI*01, IGLV10-2LPI*01, 
IGLV11-WPZI*01, IGLV11-WPZI*01, 
IGLV11-WPZI*02, IGLV11-WPZI*02, 
IGLV11-WPZI*03, IGLV11-WPZI*03, 
IGLV12-3L7Q*01, IGLV12-3L7Q*01, 
IGLV12-3XEF*03, IGLV12-3XEF*03, 
IGLV12-CWPJ*02, IGLV12-CWPJ*02, 
IGLV12-CWPJ*03, IGLV12-CWPJ*03, 
IGLV12-CWPJ*07, IGLV12-CWPJ*07, 
IGLV12-LWMG*01, IGLV12-LWMG*01, 
IGLV12-LWMG*02, IGLV12-LWMG*02, 
IGLV12-RLSR*01, IGLV12-RLSR*01, 
IGLV12-RLSR*02, IGLV12-RLSR*02, 
IGLV12-TZW3*05, IGLV12-TZW3*05, 
IGLV13-4CAZ*02, IGLV13-4CAZ*02, 
IGLV13-4CAZ*05, IGLV13-4CAZ*05, 
IGLV13-4CAZ*06, IGLV13-4CAZ*06, 
IGLV13-4CAZ*07, IGLV13-4CAZ*07, 
IGLV13-4CAZ*40, IGLV13-4CAZ*40, 
IGLV13-7QAJ*02, IGLV13-7QAJ*02, 
IGLV13-7QAJ*03, IGLV13-7QAJ*03, 
IGLV13-7QAJ*06, IGLV13-7QAJ*06, 
IGLV13-7QAJ*10, IGLV13-7QAJ*10, 
IGLV13-7QAJ*11, IGLV13-7QAJ*11, 
IGLV13-PG6A*01, IGLV13-PG6A*01, 
IGLV13-PG6A*04, IGLV13-PG6A*04, 
IGLV13-PG6A*05, IGLV13-PG6A*05, 
IGLV13-PG6A*06, IGLV13-PG6A*06, 
IGLV13-PG6A*07, IGLV13-PG6A*07, 
IGLV13-PG6A*08, IGLV13-PG6A*08, 
IGLV13-PG6A*10, IGLV13-PG6A*10, 
IGLV13-PG6A*11, IGLV13-PG6A*11, 
IGLV13-PG6A*12, IGLV13-PG6A*12, 
IGLV13-PG6A*13, IGLV13-PG6A*13, 
IGLV13-PG6A*14, IGLV13-PG6A*14, 
IGLV13-PG6A*15, IGLV13-PG6A*15, 
IGLV13-RLBV*02, IGLV13-RLBV*02, 
IGLV13-RLBV*03, IGLV13-RLBV*03, 
IGLV13-RLBV*05, IGLV13-RLBV*05, 
IGLV13-RLBV*06, IGLV13-RLBV*06, 
IGLV13-RLBV*07, IGLV13-RLBV*07, 
IGLV13-RM6H*01, IGLV13-RM6H*01, 
IGLV13-RM6H*02, IGLV13-RM6H*02, 
IGLV13-RM6H*03, IGLV13-RM6H*03, 
IGLV13-RM6H*04, IGLV13-RM6H*04, 
IGLV13-RM6H*06, IGLV13-RM6H*06, 
IGLV13-V3WL*01, IGLV13-V3WL*01, 
IGLV13-V3WL*03, IGLV13-V3WL*03, 
IGLV13-V3WL*04, IGLV13-V3WL*04, 
IGLV14-WNKU*02, IGLV14-WNKU*02, 
IGLV15-BPJ2*01, IGLV15-BPJ2*01, 
IGLV15-BPJ2*02, IGLV15-BPJ2*02, 
IGLV15-PCOE*01, IGLV15-PCOE*01, 
IGLV15-PCOE*02, IGLV15-PCOE*02, 
IGLV15-UE3U*01, IGLV15-UE3U*01, 
IGLV16-G4WJ*01, IGLV16-G4WJ*01, 
IGLV16-G4WJ*03, IGLV16-G4WJ*03, 
IGLV16-G4WJ*04, IGLV16-G4WJ*04, 
IGLV16-LHAH*01, IGLV16-LHAH*01, 
IGLV17-2DBU*01, IGLV17-2DBU*01, 
IGLV17-7C53*01, IGLV17-7C53*01, 
IGLV17-7UWK*01, IGLV17-7UWK*01, 
IGLV17-7UWK*02, IGLV17-7UWK*02, 
IGLV17-7UWK*03, IGLV17-7UWK*03, 
IGLV17-7UWK*06, IGLV17-7UWK*06, 
IGLV17-7UWK*08, IGLV17-7UWK*08, 
IGLV17-7UWK*11, IGLV17-7UWK*11, 
IGLV17-7UWK*12, IGLV17-7UWK*12, 
IGLV17-BVHO*01, IGLV17-BVHO*01, 
IGLV17-BVHO*02, IGLV17-BVHO*02, 
IGLV17-BVHO*03, IGLV17-BVHO*03, 
IGLV17-BVHO*04, IGLV17-BVHO*04, 
IGLV17-BVHO*05, IGLV17-BVHO*05, 
IGLV17-BVHO*07, IGLV17-BVHO*07, 
IGLV17-BVHO*08, IGLV17-BVHO*08, 
IGLV17-BVHO*11, IGLV17-BVHO*11, 
IGLV17-BVHO*12, IGLV17-BVHO*12, 
IGLV17-BVHO*13, IGLV17-BVHO*13, 
IGLV17-BVHO*14, IGLV17-BVHO*14, 
IGLV17-BVHO*15, IGLV17-BVHO*15, 
IGLV17-OL3F*01, IGLV17-OL3F*01, 
IGLV17-OL3F*02, IGLV17-OL3F*02, 
IGLV17-OL3F*05, IGLV17-OL3F*05, 
IGLV18-63QE*02, IGLV18-63QE*02, 
IGLV18-63QE*03, IGLV18-63QE*03, 
IGLV18-63QE*04, IGLV18-63QE*04, 
IGLV18-63QE*07, IGLV18-63QE*07, 
IGLV18-63QE*10, IGLV18-63QE*10, 
IGLV18-HPQY*01, IGLV18-HPQY*01, 
IGLV18-HPQY*02, IGLV18-HPQY*02, 
IGLV18-JH2N*01, IGLV18-JH2N*01, 
IGLV18-JH2N*02, IGLV18-JH2N*02, 
IGLV18-JH2N*06, IGLV18-JH2N*06, 
IGLV18-JH2N*07, IGLV18-JH2N*07, 
IGLV18-JH2N*08, IGLV18-JH2N*08, 
IGLV18-JH2N*09, IGLV18-JH2N*09, 
IGLV18-JH2N*10, IGLV18-JH2N*10, 
IGLV18-N5HP*01, IGLV18-N5HP*01, 
IGLV18-N5HP*03, IGLV18-N5HP*03, 
IGLV18-N5HP*04, IGLV18-N5HP*04, 
IGLV18-N5HP*05, IGLV18-N5HP*05, 
IGLV18-N5HP*06, IGLV18-N5HP*06, 
IGLV18-N5HP*07, IGLV18-N5HP*07, 
IGLV18-N5HP*08, IGLV18-N5HP*08, 
IGLV18-UUQT*03, IGLV18-UUQT*03, 
IGLV18-UUQT*08, IGLV18-UUQT*08, 
IGLV18-WFLH*01, IGLV18-WFLH*01, 
IGLV18-WFLH*02, IGLV18-WFLH*02, 
IGLV18-WFLH*03, IGLV18-WFLH*03, 
IGLV18-WFLH*04, IGLV18-WFLH*04, 
IGLV18-WFLH*05, IGLV18-WFLH*05, 
IGLV18-WFLH*06, IGLV18-WFLH*06, 
IGLV18-WFLH*07, IGLV18-WFLH*07, 
IGLV18-WFLH*08, IGLV18-WFLH*08, 
IGLV18-ZJ6T*01, IGLV18-ZJ6T*01, 
IGLV18-ZJ6T*02, IGLV18-ZJ6T*02, 
IGLV18-ZJ6T*03, IGLV18-ZJ6T*03, 
IGLV18-ZJ6T*04, IGLV18-ZJ6T*04, 
IGLV18-ZJ6T*05, IGLV18-ZJ6T*05, 
IGLV18-ZJ6T*06, IGLV18-ZJ6T*06, 
IGLV18-ZJ6T*07, IGLV18-ZJ6T*07, 
IGLV18-ZYXA*01, IGLV18-ZYXA*01, 
IGLV19-53EQ*01, IGLV19-53EQ*01, 
IGLV19-GNF7*01, IGLV19-GNF7*01, 
IGLV19-GNF7*04, IGLV19-GNF7*04, 
IGLV2-3NOK*03, IGLV2-3NOK*03, 
IGLV2-3NOK*04, IGLV2-3NOK*04, 
IGLV2-3NOK*08, IGLV2-3NOK*08, 
IGLV2-4DY7*02, IGLV2-4DY7*02, 
IGLV2-4DY7*03, IGLV2-4DY7*03, 
IGLV2-4DY7*05, IGLV2-4DY7*05, 
IGLV2-CVPP*03, IGLV2-CVPP*03, 
IGLV2-CVPP*05, IGLV2-CVPP*05, 
IGLV2-FL67*01, IGLV2-FL67*01, 
IGLV2-FL67*09, IGLV2-FL67*09, 
IGLV2-JOO7*01, IGLV2-JOO7*01, 
IGLV2-JOO7*02, IGLV2-JOO7*02, 
IGLV2-JOO7*03, IGLV2-JOO7*03, 
IGLV2-LMLE*01, IGLV2-LMLE*01, 
IGLV2-M5CD*01, IGLV2-M5CD*01, 
IGLV2-M5CD*03, IGLV2-M5CD*03, 
IGLV2-M5CD*04, IGLV2-M5CD*04, 
IGLV2-M5CD*06, IGLV2-M5CD*06, 
IGLV2-M5CD*07, IGLV2-M5CD*07, 
IGLV2-M5CD*08, IGLV2-M5CD*08, 
IGLV2-OLTR*01, IGLV2-OLTR*01, 
IGLV2-UE2U*01, IGLV2-UE2U*01, 
IGLV2-UE2U*04, IGLV2-UE2U*04, 
IGLV2-UE2U*05, IGLV2-UE2U*05, 
IGLV2-UE2U*06, IGLV2-UE2U*06, 
IGLV2-UE2U*07, IGLV2-UE2U*07, 
IGLV2-UE2U*08, IGLV2-UE2U*08, 
IGLV2-UE2U*09, IGLV2-UE2U*09, 
IGLV2-UWKA*01, IGLV2-UWKA*01, 
IGLV2-UWKA*14, IGLV2-UWKA*14, 
IGLV20-ETZW*01, IGLV20-ETZW*01, 
IGLV20-R2TL*01, IGLV20-R2TL*01, 
IGLV20-R2TL*02, IGLV20-R2TL*02, 
IGLV21-GBBF*01, IGLV21-GBBF*01, 
IGLV21-GBBF*02, IGLV21-GBBF*02, 
IGLV21-GBBF*03, IGLV21-GBBF*03, 
IGLV21-GBBF*04, IGLV21-GBBF*04, 
IGLV21-GBBF*06, IGLV21-GBBF*06, 
IGLV21-GBBF*07, IGLV21-GBBF*07, 
IGLV21-GBBF*08, IGLV21-GBBF*08, 
IGLV21-GBBF*09, IGLV21-GBBF*09, 
IGLV21-GBBF*10, IGLV21-GBBF*10, 
IGLV21-GBBF*11, IGLV21-GBBF*11, 
IGLV21-KXCY*01, IGLV21-KXCY*01, 
IGLV22-ACMF*01, IGLV22-ACMF*01, 
IGLV22-ACMF*02, IGLV22-ACMF*02, 
IGLV22-II36*01, IGLV22-II36*01, 
IGLV23-CGIK*01, IGLV23-CGIK*01, 
IGLV23-JKIO*01, IGLV23-JKIO*01, 
IGLV23-JKIO*02, IGLV23-JKIO*02, 
IGLV23-JKIO*03, IGLV23-JKIO*03, 
IGLV23-JKIO*04, IGLV23-JKIO*04, 
IGLV23-JKIO*05, IGLV23-JKIO*05, 
IGLV23-JKIO*06, IGLV23-JKIO*06, 
IGLV23-JKIO*07, IGLV23-JKIO*07, 
IGLV23-JKIO*08, IGLV23-JKIO*08, 
IGLV23-JKIO*09, IGLV23-JKIO*09, 
IGLV23-JKIO*10, IGLV23-JKIO*10, 
IGLV23-JKIO*11, IGLV23-JKIO*11, 
IGLV24-PJEQ*01, IGLV24-PJEQ*01, 
IGLV24-PJEQ*02, IGLV24-PJEQ*02, 
IGLV24-PJEQ*03, IGLV24-PJEQ*03, 
IGLV24-PJEQ*04, IGLV24-PJEQ*04, 
IGLV24-PJEQ*05, IGLV24-PJEQ*05, 
IGLV25-QYEU*01, IGLV25-QYEU*01, 
