Project	Individual	HaplotypeRank	HaplotypeDescr
P1	P1_I10	1	1
P1	P1_I20	1	1
P1	P1_I86	1	1
P1	P1_I91	1	1
P1	P1_I97	1	1
P1	P1_I98	1	1
P3	P3_I2	1	1
P4	P4_I1	1	1
P4	P4_I21	1	1
P4	P4_I2	1	1
P4	P4_I30	1	1
P4	P4_I9	1	1
P6	P6_I103	1	1
P6	P6_I110	1	1
P6	P6_I13	1	1
P6	P6_I22	1	1
P6	P6_I26	1	1
P6	P6_I2	1	1
P6	P6_I35	1	1
P6	P6_I36	1	1
P6	P6_I39	1	1
P6	P6_I41	1	1
P6	P6_I43	1	1
P6	P6_I48	1	1
P6	P6_I49	1	1
P6	P6_I50	1	1
P6	P6_I5	1	1
P6	P6_I63	1	1
P6	P6_I65	1	1
P6	P6_I67	1	1
P6	P6_I68	1	1
P6	P6_I6	1	1
P6	P6_I70	1	1
P6	P6_I72	1	1
P6	P6_I78	1	1
P6	P6_I79	1	1
P6	P6_I96	1	1
P6	P6_I97	1	1
P6	P6_I98	1	1
P6	P6_I9	1	1
P7	P7_I2	1	1
