Project	Individual	HaplotypeRank	HaplotypeDescr
P1	P1_I41	1	1
P1	P1_I42	1	1
P1	P1_I64	1	1
P1	P1_I90	1	1
P10	P10_I2	1	1
P10	P10_I5	1	1
P11	P11_I15	1	1
P11	P11_I37	1	1
P11	P11_I38	1	1
P11	P11_I40	1	1
P13	P13_I3	1	1
P13	P13_I4	1	1
P13	P13_I5	1	1
P13	P13_I6	1	1
P14	P14_I10	1	1
P14	P14_I11	1	1
P14	P14_I1	1	1
P14	P14_I2	1	1
P14	P14_I3	1	1
P14	P14_I4	1	1
P14	P14_I7	1	1
P14	P14_I8	1	1
P15	P15_I10	1	1
P15	P15_I13	1	1
P15	P15_I14	1	1
P15	P15_I15	1	1
P15	P15_I16	1	1
P15	P15_I1	1	1
P15	P15_I2	1	1
P15	P15_I3	1	1
P15	P15_I4	1	1
P15	P15_I5	1	1
P15	P15_I6	1	1
P15	P15_I7	1	1
P15	P15_I9	1	1
P2	P2_I1	1	1
P2	P2_I2	1	1
P2	P2_I3	1	1
P2	P2_I5	1	1
P2	P2_I6	1	1
P2	P2_I7	1	1
P3	P3_I2	1	1
P4	P4_I19	1	1
P4	P4_I23	1	1
P4	P4_I30	1	1
P4	P4_I31	1	1
P6	P6_I101	1	1
P6	P6_I102	1	1
P6	P6_I103	1	1
P6	P6_I10	1	1
P6	P6_I110	1	1
P6	P6_I111	1	1
P6	P6_I112	1	1
P6	P6_I12	1	1
P6	P6_I13	1	1
P6	P6_I14	1	1
P6	P6_I17	1	1
P6	P6_I18	1	1
P6	P6_I19	1	1
P6	P6_I1	1	1
P6	P6_I20	1	1
P6	P6_I22	1	1
P6	P6_I26	1	1
P6	P6_I27	1	1
P6	P6_I28	1	1
P6	P6_I29	1	1
P6	P6_I2	1	1
P6	P6_I30	1	1
P6	P6_I31	1	1
P6	P6_I32	1	1
P6	P6_I36	1	1
P6	P6_I38	1	1
P6	P6_I39	1	1
P6	P6_I3	1	1
P6	P6_I40	1	1
P6	P6_I41	1	1
P6	P6_I42	1	1
P6	P6_I43	1	1
P6	P6_I44	1	1
P6	P6_I45	1	1
P6	P6_I46	1	1
P6	P6_I47	1	1
P6	P6_I49	1	1
P6	P6_I4	1	1
P6	P6_I51	1	1
P6	P6_I52	1	1
P6	P6_I53	1	1
P6	P6_I54	1	1
P6	P6_I55	1	1
P6	P6_I57	1	1
P6	P6_I58	1	1
P6	P6_I59	1	1
P6	P6_I5	1	1
P6	P6_I60	1	1
P6	P6_I62	1	1
P6	P6_I63	1	1
P6	P6_I64	1	1
P6	P6_I65	1	1
P6	P6_I67	1	1
P6	P6_I68	1	1
P6	P6_I69	1	1
P6	P6_I6	1	1
P6	P6_I70	1	1
P6	P6_I73	1	1
P6	P6_I77	1	1
P6	P6_I78	1	1
P6	P6_I79	1	1
P6	P6_I7	1	1
P6	P6_I80	1	1
P6	P6_I82	1	1
P6	P6_I8	1	1
P6	P6_I91	1	1
P6	P6_I92	1	1
P6	P6_I95	1	1
P6	P6_I96	1	1
P6	P6_I97	1	1
P6	P6_I98	1	1
P6	P6_I99	1	1
P6	P6_I9	1	1
P8	P8_I10	1	1
P8	P8_I1	1	1
P8	P8_I2	1	1
P8	P8_I3	1	1
P8	P8_I4	1	1
P8	P8_I5	1	1
P8	P8_I6	1	1
P8	P8_I7	1	1
P8	P8_I8	1	1
P8	P8_I9	1	1
