GENE	PATTERN	ALLELES
TRBV1	bp01	01
TRBV10-1	bp01	01
TRBV10-1	bp02	02
TRBV10-2	bp01	01
TRBV10-2	bp02	02, 03
TRBV10-3	bp01	01, 02, 04
TRBV10-3	bp02	03
TRBV11-1	bp01	01
TRBV11-2	bp01	01
TRBV11-2	bp02	02
TRBV11-2	bp03	03
TRBV11-3	bp01	01, 02, 04
TRBV11-3	bp02	03
TRBV12-3	bp01	01
TRBV12-4	bp01	01
TRBV12-4	bp02	02
TRBV12-5	bp01	01
TRBV13	bp01	01
TRBV13	bp02	02
TRBV14	bp01	01
TRBV14	bp02	02
TRBV15	bp01	01
TRBV15	bp02	02
TRBV15	bp03	03
TRBV16	bp01	01, 02
TRBV16	bp02	03
TRBV18	bp01	01
TRBV19	bp01	01
TRBV19	bp02	02, 03
TRBV2	bp01	01, 02
TRBV2	bp02	03
TRBV20-1	bp01	01, 02
TRBV20-1	bp02	03
TRBV20-1	bp03	04, 06
TRBV20-1	bp04	05
TRBV20-1	bp05	07
TRBV20/OR9-2	bp01	01
TRBV20/OR9-2	bp02	02
TRBV20/OR9-2	bp03	03
TRBV21-1	bp01	01
TRBV21-1	bp02	02
TRBV21/OR9-2	bp01	01
TRBV23-1	bp01	01
TRBV23/OR9-2	bp01	01
TRBV23/OR9-2	bp02	02
TRBV24-1	bp01	01
TRBV24-1	bp02	02
TRBV24/OR9-2	bp01	01
TRBV25-1	bp01	01
TRBV26	bp01	01
TRBV26/OR9-2	bp01	01, 02
TRBV27	bp01	01
TRBV28	bp01	01
TRBV29-1	bp01	01
TRBV29-1	bp02	02
TRBV29-1	bp03	03
TRBV29/OR9-2	bp01	01
TRBV29/OR9-2	bp02	02
TRBV3-1	bp01	01
TRBV3-1	bp02	02
TRBV3-2	bp01	01
TRBV3-2	bp02	02, 03
TRBV30	bp01	01
TRBV30	bp02	02
TRBV30	bp03	03
TRBV30	bp04	04
TRBV30	bp05	05
TRBV4-1	bp01	01, 02
TRBV4-2	bp01	01
TRBV4-2	bp02	02
TRBV4-3	bp01	01, 04
TRBV4-3	bp02	02
TRBV4-3	bp03	03
TRBV5-1	bp01	01
TRBV5-1	bp02	02
TRBV5-3	bp01	01
TRBV5-3	bp02	02
TRBV5-4	bp01	01, 03
TRBV5-4	bp02	02
TRBV5-4	bp03	04
TRBV5-5	bp01	01, 02, 03
TRBV5-6	bp01	01
TRBV5-7	bp01	01
TRBV5-8	bp01	01
TRBV5-8	bp02	02
TRBV6-1	bp01	01
TRBV6-2	bp01	01
TRBV6-3	bp01	01
TRBV6-4	bp01	01, 02
TRBV6-5	bp01	01
TRBV6-6	bp01	01, 03
TRBV6-6	bp02	02
TRBV6-6	bp03	04
TRBV6-6	bp04	05
TRBV6-7	bp01	01
TRBV6-8	bp01	01
TRBV6-9	bp01	01
TRBV7-1	bp01	01
TRBV7-2	bp01	01, 04
TRBV7-2	bp02	02
TRBV7-2	bp03	03
TRBV7-3	bp01	01
TRBV7-3	bp02	02
TRBV7-3	bp03	03
TRBV7-3	bp04	04
TRBV7-3	bp05	05
TRBV7-4	bp01	01
TRBV7-6	bp01	01, 02
TRBV7-7	bp01	01, 02
TRBV7-8	bp01	01
TRBV7-8	bp02	02
TRBV7-8	bp03	03
TRBV7-9	bp01	01, 02, 03
TRBV7-9	bp02	04
TRBV7-9	bp03	05
TRBV7-9	bp04	06
TRBV7-9	bp05	07
TRBV9	bp01	01
TRBV9	bp02	02
TRBV9	bp03	03
