vdjbase_name,airr_file,airr_repertoire_id
P19_I1_S1,P19_PRJEB33490.json,healthy1_PRJEB33490_TRB
P19_I2_S1,P19_PRJEB33490.json,healthy2_PRJEB33490_TRB
P19_I3_S1,P19_PRJEB33490.json,healthy3_PRJEB33490_TRB
P19_I4_S1,P19_PRJEB33490.json,healthy4_PRJEB33490_TRB
P19_I5_S1,P19_PRJEB33490.json,healthy5_PRJEB33490_TRB
P19_I6_S1,P19_PRJEB33490.json,healthy6_PRJEB33490_TRB
P19_I7_S1,P19_PRJEB33490.json,healthy7_PRJEB33490_TRB
P19_I8_S1,P19_PRJEB33490.json,healthy8_PRJEB33490_TRB
P19_I9_S1,P19_PRJEB33490.json,healthy9_PRJEB33490_TRB
P19_I10_S1,P19_PRJEB33490.json,healthy10_PRJEB33490_TRB
P19_I11_S1,P19_PRJEB33490.json,healthy11_PRJEB33490_TRB
P19_I12_S1,P19_PRJEB33490.json,healthy12_PRJEB33490_TRB
P19_I13_S1,P19_PRJEB33490.json,healthy13_PRJEB33490_TRB
P19_I14_S1,P19_PRJEB33490.json,healthy14_PRJEB33490_TRB
P19_I15_S1,P19_PRJEB33490.json,healthy15_PRJEB33490_TRB
P19_I16_S1,P19_PRJEB33490.json,healthy16_PRJEB33490_TRB
P19_I17_S1,P19_PRJEB33490.json,healthy17_PRJEB33490_TRB
P19_I18_S1,P19_PRJEB33490.json,healthy18_PRJEB33490_TRB
P19_I19_S1,P19_PRJEB33490.json,healthy19_PRJEB33490_TRB
P19_I20_S1,P19_PRJEB33490.json,healthy20_PRJEB33490_TRB
P19_I21_S1,P19_PRJEB33490.json,healthy21_PRJEB33490_TRB
P19_I22_S1,P19_PRJEB33490.json,healthy22_PRJEB33490_TRB
P19_I23_S1,P19_PRJEB33490.json,healthy23_PRJEB33490_TRB
P19_I24_S1,P19_PRJEB33490.json,healthy24_PRJEB33490_TRB
P19_I25_S1,P19_PRJEB33490.json,healthy25_PRJEB33490_TRB
P19_I26_S1,P19_PRJEB33490.json,healthy26_PRJEB33490_TRB
P19_I27_S1,P19_PRJEB33490.json,healthy27_PRJEB33490_TRB
P19_I28_S1,P19_PRJEB33490.json,healthy28_PRJEB33490_TRB
P19_I29_S1,P19_PRJEB33490.json,healthy29_PRJEB33490_TRB
P19_I30_S1,P19_PRJEB33490.json,healthy30_PRJEB33490_TRB
P19_I31_S1,P19_PRJEB33490.json,healthy31_PRJEB33490_TRB
P19_I32_S1,P19_PRJEB33490.json,healthy32_PRJEB33490_TRB
P19_I33_S1,P19_PRJEB33490.json,healthy33_PRJEB33490_TRB
P19_I34_S1,P19_PRJEB33490.json,healthy34_PRJEB33490_TRB
P19_I35_S1,P19_PRJEB33490.json,healthy35_PRJEB33490_TRB
P19_I36_S1,P19_PRJEB33490.json,healthy36_PRJEB33490_TRB
P19_I37_S1,P19_PRJEB33490.json,healthy37_PRJEB33490_TRB
P19_I38_S1,P19_PRJEB33490.json,healthy38_PRJEB33490_TRB
P19_I39_S1,P19_PRJEB33490.json,healthy39_PRJEB33490_TRB
P19_I40_S1,P19_PRJEB33490.json,healthy40_PRJEB33490_TRB
P19_I41_S1,P19_PRJEB33490.json,healthy41_PRJEB33490_TRB
P19_I42_S1,P19_PRJEB33490.json,healthy42_PRJEB33490_TRB
P19_I43_S1,P19_PRJEB33490.json,healthy43_PRJEB33490_TRB
P19_I44_S1,P19_PRJEB33490.json,healthy44_PRJEB33490_TRB
P19_I45_S1,P19_PRJEB33490.json,healthy45_PRJEB33490_TRB
P19_I46_S1,P19_PRJEB33490.json,healthy46_PRJEB33490_TRB
P19_I47_S1,P19_PRJEB33490.json,healthy47_PRJEB33490_TRB
P19_I48_S1,P19_PRJEB33490.json,healthy48_PRJEB33490_TRB
P19_I49_S1,P19_PRJEB33490.json,healthy49_PRJEB33490_TRB
P19_I50_S1,P19_PRJEB33490.json,healthy50_PRJEB33490_TRB
P19_I51_S1,P19_PRJEB33490.json,healthy51_PRJEB33490_TRB
P19_I52_S1,P19_PRJEB33490.json,healthy52_PRJEB33490_TRB
P19_I53_S1,P19_PRJEB33490.json,healthy53_PRJEB33490_TRB
P19_I54_S1,P19_PRJEB33490.json,healthy54_PRJEB33490_TRB
P19_I55_S1,P19_PRJEB33490.json,healthy55_PRJEB33490_TRB
P19_I56_S1,P19_PRJEB33490.json,healthy56_PRJEB33490_TRB
P19_I57_S1,P19_PRJEB33490.json,healthy57_PRJEB33490_TRB
P19_I58_S1,P19_PRJEB33490.json,healthy58_PRJEB33490_TRB
P19_I59_S1,P19_PRJEB33490.json,healthy59_PRJEB33490_TRB
P19_I60_S1,P19_PRJEB33490.json,healthy60_PRJEB33490_TRB
P19_I61_S1,P19_PRJEB33490.json,healthy61_PRJEB33490_TRB
P19_I62_S1,P19_PRJEB33490.json,healthy62_PRJEB33490_TRB
P19_I63_S1,P19_PRJEB33490.json,healthy63_PRJEB33490_TRB
P19_I64_S1,P19_PRJEB33490.json,healthy64_PRJEB33490_TRB
P19_I65_S1,P19_PRJEB33490.json,healthy65_PRJEB33490_TRB
P19_I66_S1,P19_PRJEB33490.json,healthy66_PRJEB33490_TRB
P19_I67_S1,P19_PRJEB33490.json,healthy67_PRJEB33490_TRB
P19_I68_S1,P19_PRJEB33490.json,healthy68_PRJEB33490_TRB
P19_I69_S1,P19_PRJEB33490.json,healthy69_PRJEB33490_TRB
P19_I70_S1,P19_PRJEB33490.json,healthy70_PRJEB33490_TRB
P19_I71_S1,P19_PRJEB33490.json,healthy71_PRJEB33490_TRB
P19_I72_S1,P19_PRJEB33490.json,healthy72_PRJEB33490_TRB
P19_I73_S1,P19_PRJEB33490.json,healthy73_PRJEB33490_TRB
P19_I74_S1,P19_PRJEB33490.json,healthy74_PRJEB33490_TRB
P19_I75_S1,P19_PRJEB33490.json,healthy75_PRJEB33490_TRB
P19_I76_S1,P19_PRJEB33490.json,healthy76_PRJEB33490_TRB
P19_I77_S1,P19_PRJEB33490.json,healthy77_PRJEB33490_TRB
P19_I78_S1,P19_PRJEB33490.json,healthy78_PRJEB33490_TRB
P19_I79_S1,P19_PRJEB33490.json,healthy79_PRJEB33490_TRB
P19_I80_S1,P19_PRJEB33490.json,healthy80_PRJEB33490_TRB
P19_I81_S1,P19_PRJEB33490.json,healthy81_PRJEB33490_TRB
P19_I82_S1,P19_PRJEB33490.json,healthy82_PRJEB33490_TRB
P19_I83_S1,P19_PRJEB33490.json,healthy83_PRJEB33490_TRB
P19_I84_S1,P19_PRJEB33490.json,healthy84_PRJEB33490_TRB
P19_I85_S1,P19_PRJEB33490.json,healthy85_PRJEB33490_TRB
P19_I86_S1,P19_PRJEB33490.json,healthy86_PRJEB33490_TRB
P19_I87_S1,P19_PRJEB33490.json,healthy87_PRJEB33490_TRB
P19_I88_S1,P19_PRJEB33490.json,healthy88_PRJEB33490_TRB
P19_I89_S1,P19_PRJEB33490.json,healthy89_PRJEB33490_TRB
P19_I90_S1,P19_PRJEB33490.json,healthy90_PRJEB33490_TRB
P19_I91_S1,P19_PRJEB33490.json,healthy91_PRJEB33490_TRB
P19_I92_S1,P19_PRJEB33490.json,healthy92_PRJEB33490_TRB
P19_I93_S1,P19_PRJEB33490.json,healthy93_PRJEB33490_TRB
P19_I94_S1,P19_PRJEB33490.json,healthy94_PRJEB33490_TRB
P19_I95_S1,P19_PRJEB33490.json,healthy95_PRJEB33490_TRB
P19_I96_S1,P19_PRJEB33490.json,healthy96_PRJEB33490_TRB
P19_I97_S1,P19_PRJEB33490.json,healthy97_PRJEB33490_TRB
P19_I98_S1,P19_PRJEB33490.json,healthy98_PRJEB33490_TRB
P19_I99_S1,P19_PRJEB33490.json,healthy99_PRJEB33490_TRB
P19_I100_S1,P19_PRJEB33490.json,hematological_cancer1_PRJEB33490_TRB
P19_I101_S1,P19_PRJEB33490.json,hematological_cancer2_PRJEB33490_TRB
P19_I102_S1,P19_PRJEB33490.json,hematological_cancer3_PRJEB33490_TRB
P19_I103_S1,P19_PRJEB33490.json,hematological_cancer4_PRJEB33490_TRB
P19_I104_S1,P19_PRJEB33490.json,hematological_cancer5_PRJEB33490_TRB
P19_I105_S1,P19_PRJEB33490.json,hematological_cancer6_PRJEB33490_TRB
P19_I106_S1,P19_PRJEB33490.json,hematological_cancer7_PRJEB33490_TRB
P19_I107_S1,P19_PRJEB33490.json,hematological_cancer8_PRJEB33490_TRB
P19_I108_S1,P19_PRJEB33490.json,hematological_cancer9_PRJEB33490_TRB
P19_I109_S1,P19_PRJEB33490.json,hematological_cancer10_PRJEB33490_TRB
P19_I110_S1,P19_PRJEB33490.json,hematological_cancer11_PRJEB33490_TRB
P19_I111_S1,P19_PRJEB33490.json,hematological_cancer12_PRJEB33490_TRB
P19_I112_S1,P19_PRJEB33490.json,hematological_cancer13_PRJEB33490_TRB
P19_I113_S1,P19_PRJEB33490.json,hematological_cancer14_PRJEB33490_TRB
P19_I114_S1,P19_PRJEB33490.json,hematological_cancer15_PRJEB33490_TRB
P19_I115_S1,P19_PRJEB33490.json,hematological_cancer16_PRJEB33490_TRB
P19_I116_S1,P19_PRJEB33490.json,hematological_cancer17_PRJEB33490_TRB
P19_I117_S1,P19_PRJEB33490.json,hematological_cancer18_PRJEB33490_TRB
P19_I118_S1,P19_PRJEB33490.json,hematological_cancer19_PRJEB33490_TRB
P19_I119_S1,P19_PRJEB33490.json,hematological_cancer20_PRJEB33490_TRB
P19_I120_S1,P19_PRJEB33490.json,hematological_cancer21_PRJEB33490_TRB
P19_I121_S1,P19_PRJEB33490.json,hematological_cancer22_PRJEB33490_TRB
P19_I122_S1,P19_PRJEB33490.json,hematological_cancer23_PRJEB33490_TRB
P19_I123_S1,P19_PRJEB33490.json,hematological_cancer24_PRJEB33490_TRB
P19_I124_S1,P19_PRJEB33490.json,hematological_cancer25_PRJEB33490_TRB
P19_I125_S1,P19_PRJEB33490.json,hematological_cancer26_PRJEB33490_TRB
P19_I126_S1,P19_PRJEB33490.json,hematological_cancer27_PRJEB33490_TRB
P19_I127_S1,P19_PRJEB33490.json,hematological_cancer28_PRJEB33490_TRB
P19_I128_S1,P19_PRJEB33490.json,hematological_cancer29_PRJEB33490_TRB
P19_I129_S1,P19_PRJEB33490.json,hematological_cancer30_PRJEB33490_TRB
P19_I130_S1,P19_PRJEB33490.json,hematological_cancer31_PRJEB33490_TRB
P19_I131_S1,P19_PRJEB33490.json,hematological_cancer32_PRJEB33490_TRB
P19_I132_S1,P19_PRJEB33490.json,hematological_cancer33_PRJEB33490_TRB
P19_I133_S1,P19_PRJEB33490.json,hematological_cancer34_PRJEB33490_TRB
P19_I134_S1,P19_PRJEB33490.json,hematological_cancer35_PRJEB33490_TRB
P19_I135_S1,P19_PRJEB33490.json,hematological_cancer36_PRJEB33490_TRB
P19_I136_S1,P19_PRJEB33490.json,hematological_cancer37_PRJEB33490_TRB
P19_I137_S1,P19_PRJEB33490.json,hematological_cancer38_PRJEB33490_TRB
P19_I138_S1,P19_PRJEB33490.json,hematological_cancer39_PRJEB33490_TRB
P19_I139_S1,P19_PRJEB33490.json,hematological_cancer40_PRJEB33490_TRB
