vdjbase_name,airr_file,airr_repertoire_id
P29_I1_S1,P29_PRJNA747292.json,HPV15_PRJNA747292_TRB
P29_I2_S1,P29_PRJNA747292.json,HPV34_PRJNA747292_TRB
P29_I3_S1,P29_PRJNA747292.json,HPV37_PRJNA747292_TRB
P29_I4_S1,P29_PRJNA747292.json,HPV42_PRJNA747292_TRB
P29_I5_S1,P29_PRJNA747292.json,HPV51_PRJNA747292_TRB
P29_I6_S1,P29_PRJNA747292.json,HPV7_PRJNA747292_TRB
P30_I1_S1,P30_PRJNA472381.json,BC09_PRJNA472381_TRB
P30_I2_S1,P30_PRJNA472381.json,BC10_PRJNA472381_TRB
P30_I3_S1,P30_PRJNA472381.json,BC11_PRJNA472381_TRB
P31_I1_S1,P31_PRJNA509910.json,su001_PRJNA509910_TRB
P31_I2_S1,P31_PRJNA509910.json,su002_PRJNA509910_TRB
P31_I3_S1,P31_PRJNA509910.json,su003_PRJNA509910_TRB
P31_I4_S1,P31_PRJNA509910.json,su004_PRJNA509910_TRB
P31_I5_S1,P31_PRJNA509910.json,su005_PRJNA509910_TRB
P31_I6_S1,P31_PRJNA509910.json,su006_PRJNA509910_TRB
P31_I7_S1,P31_PRJNA509910.json,su007_PRJNA509910_TRB
P31_I8_S1,P31_PRJNA509910.json,su008_PRJNA509910_TRB
P31_I9_S1,P31_PRJNA509910.json,su009_PRJNA509910_TRB
P31_I10_S1,P31_PRJNA509910.json,su010_PRJNA509910_TRB
P31_I11_S1,P31_PRJNA509910.json,su011_PRJNA509910_TRB
P31_I12_S1,P31_PRJNA509910.json,su012_PRJNA509910_TRB
P31_I13_S1,P31_PRJNA509910.json,su013_PRJNA509910_TRB
P31_I14_S1,P31_PRJNA509910.json,su014_PRJNA509910_TRB
P32_I1_S1,P32_PRJNA724733.json,P1_PRJNA724733_TRB
P32_I2_S1,P32_PRJNA724733.json,P2_PRJNA724733_TRB
P32_I3_S1,P32_PRJNA724733.json,P3_PRJNA724733_TRB
P32_I4_S1,P32_PRJNA724733.json,P4_PRJNA724733_TRB
P32_I5_S1,P32_PRJNA724733.json,P5_PRJNA724733_TRB
P32_I6_S1,P32_PRJNA724733.json,P6_PRJNA724733_TRB
P32_I7_S1,P32_PRJNA724733.json,P7_PRJNA724733_TRB
P32_I8_S1,P32_PRJNA724733.json,P8_PRJNA724733_TRB
P33_I1_S1,P33_PRJNA680539.json,7337222442829934100-242ac117-0001-012
P33_I2_S1,P33_PRJNA680539.json,7341989856528494100-242ac117-0001-012
P33_I3_S1,P33_PRJNA680539.json,7341388561107054100-242ac117-0001-012
P33_I4_S1,P33_PRJNA680539.json,7347702163032174100-242ac117-0001-012
P33_I5_S1,P33_PRJNA680539.json,7343020648679534100-242ac117-0001-012
P33_I6_S1,P33_PRJNA680539.json,7342720000968814100-242ac117-0001-012
P33_I7_S1,P33_PRJNA680539.json,7344480937560174100-242ac117-0001-012
P33_I8_S1,P33_PRJNA680539.json,7341989852233526804-242ac117-0001-012
P33_I9_S1,P33_PRJNA680539.json,7333228123244654100-242ac117-0001-012
P33_I10_S1,P33_PRJNA680539.json,7340314819283054100-242ac117-0001-012
P33_I11_S1,P33_PRJNA680539.json,7343106543730486804-242ac117-0001-012
P33_I12_S1,P33_PRJNA680539.json,7347959861069934100-242ac117-0001-012
P33_I13_S1,P33_PRJNA680539.json,7341861007509614100-242ac117-0001-012
P33_I14_S1,P33_PRJNA680539.json,7337308342175854100-242ac117-0001-012
P33_I15_S1,P33_PRJNA680539.json,7343106548025454100-242ac117-0001-012
P33_I16_S1,P33_PRJNA680539.json,7347916911396974100-242ac117-0001-012
P33_I17_S1,P33_PRJNA680539.json,7347616263686254100-242ac117-0001-012
P33_I18_S1,P33_PRJNA680539.json,7339584674842734100-242ac117-0001-012
P33_I19_S1,P33_PRJNA680539.json,7340658416666734100-242ac117-0001-012
P33_I20_S1,P33_PRJNA680539.json,7342677051295854100-242ac117-0001-012
P17_I1_S1,P17_PRJCA002413.json,PRJCA002413-ERS1-TRB
P17_I2_S1,P17_PRJCA002413.json,PRJCA002413-ERS2-TRB
P17_I3_S1,P17_PRJCA002413.json,PRJCA002413-ERS3-TRB
P17_I4_S1,P17_PRJCA002413.json,PRJCA002413-ERS4-TRB
P17_I5_S1,P17_PRJCA002413.json,PRJCA002413-ERS5-TRB
P17_I6_S1,P17_PRJCA002413.json,PRJCA002413-Healthy_Control_1-TRB
P17_I7_S1,P17_PRJCA002413.json,PRJCA002413-Healthy_Control_2-TRB
P17_I8_S1,P17_PRJCA002413.json,PRJCA002413-Healthy_Control_3-TRB
P17_I9_S1,P17_PRJCA002413.json,PRJCA002413-Healthy_Control_4-TRB
P17_I10_S1,P17_PRJCA002413.json,PRJCA002413-Healthy_Control_5-TRB
P17_I11_S1,P17_PRJCA002413.json,PRJCA002413-LRS1-TRB
P17_I12_S1,P17_PRJCA002413.json,PRJCA002413-LRS2-TRB
P17_I13_S1,P17_PRJCA002413.json,PRJCA002413-LRS3-TRB
P17_I14_S1,P17_PRJCA002413.json,PRJCA002413-LRS4-TRB
P17_I15_S1,P17_PRJCA002413.json,PRJCA002413-LRS5-TRB
P4_I10_S1,P4_PRJEB28370.json,CI10_PRJEB28370_TRB
P4_I11_S1,P4_PRJEB28370.json,CI11_PRJEB28370_TRB
P4_I12_S1,P4_PRJEB28370.json,CI13_PRJEB28370_TRB
P4_I13_S1,P4_PRJEB28370.json,CI15_PRJEB28370_TRB
P4_I14_S1,P4_PRJEB28370.json,CI16_PRJEB28370_TRB
P4_I15_S1,P4_PRJEB28370.json,CI20_PRJEB28370_TRB
P4_I16_S1,P4_PRJEB28370.json,CI21_PRJEB28370_TRB
P4_I17_S1,P4_PRJEB28370.json,CI22_PRJEB28370_TRB
P4_I18_S1,P4_PRJEB28370.json,CI26_PRJEB28370_TRB
P4_I19_S1,P4_PRJEB28370.json,CI4T_PRJEB28370_TRB
P4_I1_S1,P4_PRJEB28370.json,C10_PRJEB28370_TRB
P4_I21_S1,P4_PRJEB28370.json,SC1_PRJEB28370_TRB
P4_I22_S1,P4_PRJEB28370.json,SC10_PRJEB28370_TRB
P4_I23_S1,P4_PRJEB28370.json,SC11_PRJEB28370_TRB
P4_I24_S1,P4_PRJEB28370.json,SC12_PRJEB28370_TRB
P4_I25_S1,P4_PRJEB28370.json,SC14_PRJEB28370_TRB
P4_I26_S1,P4_PRJEB28370.json,SC15_PRJEB28370_TRB
P4_I27_S1,P4_PRJEB28370.json,SC2_PRJEB28370_TRB
P4_I28_S1,P4_PRJEB28370.json,SC3_PRJEB28370_TRB
P4_I29_S1,P4_PRJEB28370.json,SC7_PRJEB28370_TRB
P4_I2_S1,P4_PRJEB28370.json,C4T_PRJEB28370_TRB
P4_I30_S1,P4_PRJEB28370.json,SC8_PRJEB28370_TRB
P4_I31_S1,P4_PRJEB28370.json,SC9_PRJEB28370_TRB
P4_I4_S1,P4_PRJEB28370.json,C5_PRJEB28370_TRB
P4_I5_S1,P4_PRJEB28370.json,C6T_PRJEB28370_TRB
P4_I7_S1,P4_PRJEB28370.json,C7_PRJEB28370_TRB
P4_I8_S1,P4_PRJEB28370.json,C8_PRJEB28370_TRB
P4_I9_S1,P4_PRJEB28370.json,C9_PRJEB28370_TRB
P18_I1_S1,P18_PRJNA608742.json,7977718615029387756-242ac117-0001-012_PRJNA608742_TRB
P18_I2_S1,P18_PRJNA608742.json,7976215376475787756-242ac117-0001-012_PRJNA608742_TRB
P18_I3_S1,P18_PRJNA608742.json,7977031420262027756-242ac117-0001-012_PRJNA608742_TRB
P18_I4_S1,P18_PRJNA608742.json,7978019262740107756-242ac117-0001-012_PRJNA608742_TRB
P18_I5_S1,P18_PRJNA608742.json,7975184584324747756-242ac117-0001-012_PRJNA608742_TRB
P18_I6_S1,P18_PRJNA608742.json,7976516024186507756-242ac117-0001-012_PRJNA608742_TRB
P18_I7_S1,P18_PRJNA608742.json,7976387175167627756-242ac117-0001-012_PRJNA608742_TRB
P18_I8_S1,P18_PRJNA608742.json,7975227533997707756-242ac117-0001-012_PRJNA608742_TRB
P18_I9_S1,P18_PRJNA608742.json,7976558973859467756-242ac117-0001-012_PRJNA608742_TRB
P19_I1_S1,P19_PRJEB33490.json,healthy1_PRJEB33490_TRB
P19_I2_S1,P19_PRJEB33490.json,healthy2_PRJEB33490_TRB
P19_I3_S1,P19_PRJEB33490.json,healthy3_PRJEB33490_TRB
P19_I4_S1,P19_PRJEB33490.json,healthy4_PRJEB33490_TRB
P19_I5_S1,P19_PRJEB33490.json,healthy5_PRJEB33490_TRB
P19_I6_S1,P19_PRJEB33490.json,healthy6_PRJEB33490_TRB
P19_I7_S1,P19_PRJEB33490.json,healthy7_PRJEB33490_TRB
P19_I8_S1,P19_PRJEB33490.json,healthy8_PRJEB33490_TRB
P19_I9_S1,P19_PRJEB33490.json,healthy9_PRJEB33490_TRB
P19_I10_S1,P19_PRJEB33490.json,healthy10_PRJEB33490_TRB
P19_I11_S1,P19_PRJEB33490.json,healthy11_PRJEB33490_TRB
P19_I12_S1,P19_PRJEB33490.json,healthy12_PRJEB33490_TRB
P19_I13_S1,P19_PRJEB33490.json,healthy13_PRJEB33490_TRB
P19_I14_S1,P19_PRJEB33490.json,healthy14_PRJEB33490_TRB
P19_I15_S1,P19_PRJEB33490.json,healthy15_PRJEB33490_TRB
P19_I16_S1,P19_PRJEB33490.json,healthy16_PRJEB33490_TRB
P19_I17_S1,P19_PRJEB33490.json,healthy17_PRJEB33490_TRB
P19_I18_S1,P19_PRJEB33490.json,healthy18_PRJEB33490_TRB
P19_I19_S1,P19_PRJEB33490.json,healthy19_PRJEB33490_TRB
P19_I20_S1,P19_PRJEB33490.json,healthy20_PRJEB33490_TRB
P19_I21_S1,P19_PRJEB33490.json,healthy21_PRJEB33490_TRB
P19_I22_S1,P19_PRJEB33490.json,healthy22_PRJEB33490_TRB
P19_I23_S1,P19_PRJEB33490.json,healthy23_PRJEB33490_TRB
P19_I24_S1,P19_PRJEB33490.json,healthy24_PRJEB33490_TRB
P19_I25_S1,P19_PRJEB33490.json,healthy25_PRJEB33490_TRB
P19_I26_S1,P19_PRJEB33490.json,healthy26_PRJEB33490_TRB
P19_I27_S1,P19_PRJEB33490.json,healthy27_PRJEB33490_TRB
P19_I28_S1,P19_PRJEB33490.json,healthy28_PRJEB33490_TRB
P19_I29_S1,P19_PRJEB33490.json,healthy29_PRJEB33490_TRB
P19_I30_S1,P19_PRJEB33490.json,healthy30_PRJEB33490_TRB
P19_I31_S1,P19_PRJEB33490.json,healthy31_PRJEB33490_TRB
P19_I32_S1,P19_PRJEB33490.json,healthy32_PRJEB33490_TRB
P19_I33_S1,P19_PRJEB33490.json,healthy33_PRJEB33490_TRB
