vdjbase_name,airr_file,airr_repertoire_id
P1_I100_S1,P1_PRJEB26509.json,100_PRJEB26509_IGL
P1_I10_S1,P1_PRJEB26509.json,10_PRJEB26509_IGL
P1_I11_S1,P1_PRJEB26509.json,11_PRJEB26509_IGL
P1_I12_S1,P1_PRJEB26509.json,12_PRJEB26509_IGL
P1_I13_S1,P1_PRJEB26509.json,13_PRJEB26509_IGL
P1_I14_S1,P1_PRJEB26509.json,14_PRJEB26509_IGL
P1_I15_S1,P1_PRJEB26509.json,15_PRJEB26509_IGL
P1_I16_S1,P1_PRJEB26509.json,16_PRJEB26509_IGL
P1_I17_S1,P1_PRJEB26509.json,17_PRJEB26509_IGL
P1_I18_S1,P1_PRJEB26509.json,18_PRJEB26509_IGL
P1_I19_S1,P1_PRJEB26509.json,19_PRJEB26509_IGL
P1_I1_S1,P1_PRJEB26509.json,1_PRJEB26509_IGL
P1_I20_S1,P1_PRJEB26509.json,20_PRJEB26509_IGL
P1_I21_S1,P1_PRJEB26509.json,21_PRJEB26509_IGL
P1_I22_S1,P1_PRJEB26509.json,22_PRJEB26509_IGL
P1_I23_S1,P1_PRJEB26509.json,23_PRJEB26509_IGL
P1_I24_S1,P1_PRJEB26509.json,24_PRJEB26509_IGL
P1_I25_S1,P1_PRJEB26509.json,25_PRJEB26509_IGL
P1_I26_S1,P1_PRJEB26509.json,26_PRJEB26509_IGL
P1_I27_S1,P1_PRJEB26509.json,27_PRJEB26509_IGL
P1_I28_S1,P1_PRJEB26509.json,28_PRJEB26509_IGL
P1_I29_S1,P1_PRJEB26509.json,29_PRJEB26509_IGL
P1_I2_S1,P1_PRJEB26509.json,2_PRJEB26509_IGL
P1_I30_S1,P1_PRJEB26509.json,30_PRJEB26509_IGL
P1_I31_S1,P1_PRJEB26509.json,31_PRJEB26509_IGL
P1_I32_S1,P1_PRJEB26509.json,32_PRJEB26509_IGL
P1_I33_S1,P1_PRJEB26509.json,33_PRJEB26509_IGL
P1_I34_S1,P1_PRJEB26509.json,34_PRJEB26509_IGL
P1_I35_S1,P1_PRJEB26509.json,35_PRJEB26509_IGL
P1_I36_S1,P1_PRJEB26509.json,36_PRJEB26509_IGL
P1_I37_S1,P1_PRJEB26509.json,37_PRJEB26509_IGL
P1_I38_S1,P1_PRJEB26509.json,38_PRJEB26509_IGL
P1_I39_S1,P1_PRJEB26509.json,39_PRJEB26509_IGL
P1_I3_S1,P1_PRJEB26509.json,3_PRJEB26509_IGL
