GENE,PATTERN,ALLELES
TRBV6-23,1,"2.01,3.01"
TRBV1,ap01,1
TRBV10-1,ap01,"01, 02"
TRBV10-2,ap01,"01, 02"
TRBV10-3,ap01,"01, 02, 03, 04"
TRBV11-1,ap01,1
TRBV11-2,ap01,"01, 03"
TRBV11-2,ap02,2
TRBV11-3,ap01,"01, 02, 04"
TRBV11-3,ap02,3
TRBV12-1,ap01,1
TRBV12-2,ap01,1
TRBV12-34,ap01,"3.01,4.01"
TRBV12-4,ap01,2
TRBV12-5,ap01,1
TRBV13,ap01,"01, 02"
TRBV14,ap01,"01, 02"
TRBV15,ap01,1
TRBV15,ap02,2
TRBV15,ap03,3
TRBV16,ap01,"01, 02, 03"
TRBV17,ap01,"01, 02"
TRBV18,ap01,1
TRBV19,ap01,"01, 02, 03"
TRBV2,ap01,"01, 02, 03"
TRBV20-1,ap01,"01, 02, 03, 05, 06, 07"
TRBV20-1,ap02,4
TRBV20/OR9-2,ap01,"01, 02, 03"
TRBV21-1,ap01,"01, 02"
TRBV21/OR9-2,ap01,1
TRBV23-1,ap01,1
TRBV23/OR9-2,ap01,"01, 02"
TRBV24-1,ap01,"01, 02"
TRBV24/OR9-2,ap01,1
TRBV25-1,ap01,1
TRBV26,ap01,1
TRBV26/OR9-2,ap01,"01, 02"
TRBV27,ap01,1
TRBV28,ap01,1
TRBV29-1,ap01,"01, 02"
TRBV29-1,ap02,3
TRBV29/OR9-2,ap01,"01, 02"
TRBV3-1,ap01,"01, 02"
TRBV3-2,ap01,"01, 02, 03"
TRBV3-12,ap01,"1.01,1.02,2.01,2.02,2.03"
TRBV30,ap01,"01, 03"
TRBV30,ap02,"02, 04"
TRBV30,ap03,5
TRBV4-1,ap01,"01, 02"
TRBV4-2,ap01,1
TRBV4-2,ap02,2
TRBV4-3,ap01,"01, 02, 03, 04"
TRBV5-1,ap01,"01, 02"
TRBV5-3,ap01,"01, 02"
TRBV5-4,ap01,"01, 02, 03, 04"
TRBV5-5,ap01,"01, 02, 03"
TRBV5-6,ap01,1
TRBV5-7,ap01,1
TRBV5-8,ap01,"01, 02"
TRBV6-1,ap01,1
TRBV6-2,ap01,1
TRBV6-23,ap01,"2.01,3.01"
TRBV6-3,ap01,1
TRBV6-4,ap01,"01, 02"
TRBV6-5,ap01,1
TRBV6-56,ap01,"5.01,6.01,6.02,6.03"
TRBV6-56,ap02,6.04
TRBV6-56,ap03,6.05
TRBV6-6,ap01,"01, 02, 03"
TRBV6-6,ap02,4
TRBV6-6,ap03,5
TRBV6-7,ap01,1
TRBV6-8,ap01,1
TRBV6-9,ap01,1
TRBV7-1,ap01,1
TRBV7-2,ap01,"01, 02, 04"
TRBV7-2,ap02,3
TRBV7-3,ap01,"01, 05"
TRBV7-3,ap02,2
TRBV7-3,ap03,3
TRBV7-3,ap04,4
TRBV7-4,ap01,1
TRBV7-6,ap01,"01, 02"
TRBV7-7,ap01,"01, 02"
TRBV7-8,ap01,1
TRBV7-8,ap02,2
TRBV7-8,ap03,3
TRBV7-9,ap01,"01, 02, 03, 04"
TRBV7-9,ap02,5
TRBV7-9,ap03,6
TRBV7-9,ap04,7
TRBV9,ap01,"01, 02, 03"
TRBV1,bp01,1
TRBV10-1,bp01,1
TRBV10-1,bp02,2
TRBV10-2,bp01,1
TRBV10-2,bp02,2
TRBV10-3,bp01,"01, 02, 04"
TRBV10-3,bp02,3
TRBV11-1,bp01,1
TRBV11-2,bp01,1
TRBV11-2,bp02,2
TRBV11-2,bp03,3
TRBV11-3,bp01,"01, 02, 04"
TRBV11-3,bp02,3
TRBV12-34,bp01,"3.01,4.01"
TRBV12-4,bp02,2
TRBV12-5,bp01,1
TRBV13,bp01,1
TRBV13,bp02,2
TRBV14,bp01,1
TRBV14,bp02,2
TRBV15,bp01,1
TRBV15,bp02,2
TRBV15,bp03,3
TRBV16,bp01,"01, 02"
TRBV16,bp02,3
TRBV18,bp01,1
TRBV19,bp01,1
TRBV19,bp02,"02, 03"
TRBV2,bp01,"01, 02"
TRBV2,bp02,3
TRBV20-1,bp01,"01, 02"
TRBV20-1,bp02,3
TRBV20-1,bp03,"04, 06"
TRBV20-1,bp04,5
TRBV20-1,bp05,7
TRBV20/OR9-2,bp01,1
TRBV20/OR9-2,bp02,2
TRBV20/OR9-2,bp03,3
TRBV21-1,bp01,1
TRBV21-1,bp02,2
TRBV21/OR9-2,bp01,1
TRBV23-1,bp01,1
TRBV23/OR9-2,bp01,1
TRBV23/OR9-2,bp02,2
TRBV24-1,bp01,1
TRBV24-1,bp02,2
TRBV24/OR9-2,bp01,1
TRBV25-1,bp01,1
TRBV26,bp01,1
TRBV26/OR9-2,bp01,"01, 02"
TRBV27,bp01,1
TRBV28,bp01,1
TRBV29-1,bp01,1
TRBV29-1,bp02,2
TRBV29-1,bp03,3
TRBV29/OR9-2,bp01,1
TRBV29/OR9-2,bp02,2
TRBV3-1,bp01,1
TRBV3-1,bp02,2
TRBV3-2,bp01,1
TRBV3-2,bp02,"02, 03"
TRBV30,bp01,1
TRBV30,bp02,2
TRBV30,bp03,3
TRBV30,bp04,4
TRBV30,bp05,5
TRBV4-1,bp01,"01, 02"
TRBV4-2,bp01,1
TRBV4-2,bp02,2
TRBV4-3,bp01,"01, 04"
TRBV4-3,bp02,2
TRBV4-3,bp03,3
TRBV5-1,bp01,1
TRBV5-1,bp02,2
TRBV5-3,bp01,1
TRBV5-3,bp02,2
TRBV5-4,bp01,"01, 03"
TRBV5-4,bp02,2
TRBV5-4,bp03,4
TRBV5-5,bp01,"01, 02, 03"
TRBV5-6,bp01,1
TRBV5-7,bp01,1
TRBV5-8,bp01,1
TRBV5-8,bp02,2
TRBV6-1,bp01,1
TRBV6-2,bp01,1
TRBV6-23,bp01,"2.01,3.01"
TRBV6-3,bp01,1
TRBV6-4,bp01,"01, 02"
TRBV6-5,bp01,1
TRBV6-6,bp01,"01, 03"
TRBV6-6,bp02,2
TRBV6-6,bp03,4
TRBV6-6,bp04,5
TRBV6-7,bp01,1
TRBV6-8,bp01,1
TRBV6-9,bp01,1
TRBV7-1,bp01,1
TRBV7-2,bp01,"01, 04"
TRBV7-2,bp02,2
TRBV7-2,bp03,3
TRBV7-3,bp01,1
TRBV7-3,bp02,2
TRBV7-3,bp03,3
TRBV7-3,bp04,4
TRBV7-3,bp05,5
TRBV7-4,bp01,1
TRBV7-6,bp01,"01, 02"
TRBV7-7,bp01,"01, 02"
TRBV7-8,bp01,1
TRBV7-8,bp02,2
