vdjbase_name,airr_file,airr_repertoire_id
P1_I100_S1,P1_PRJEB26509.json,100_PRJEB26509_IGK
P1_I10_S1,P1_PRJEB26509.json,10_PRJEB26509_IGK
P1_I11_S1,P1_PRJEB26509.json,11_PRJEB26509_IGK
P1_I12_S1,P1_PRJEB26509.json,12_PRJEB26509_IGK
P1_I13_S1,P1_PRJEB26509.json,13_PRJEB26509_IGK
P1_I14_S1,P1_PRJEB26509.json,14_PRJEB26509_IGK
P1_I15_S1,P1_PRJEB26509.json,15_PRJEB26509_IGK
P1_I16_S1,P1_PRJEB26509.json,16_PRJEB26509_IGK
P1_I17_S1,P1_PRJEB26509.json,17_PRJEB26509_IGK
P1_I18_S1,P1_PRJEB26509.json,18_PRJEB26509_IGK
P1_I19_S1,P1_PRJEB26509.json,19_PRJEB26509_IGK
P1_I1_S1,P1_PRJEB26509.json,1_PRJEB26509_IGK
P1_I20_S1,P1_PRJEB26509.json,20_PRJEB26509_IGK
P1_I21_S1,P1_PRJEB26509.json,21_PRJEB26509_IGK
P1_I22_S1,P1_PRJEB26509.json,22_PRJEB26509_IGK
P1_I23_S1,P1_PRJEB26509.json,23_PRJEB26509_IGK
P1_I24_S1,P1_PRJEB26509.json,24_PRJEB26509_IGK
P1_I25_S1,P1_PRJEB26509.json,25_PRJEB26509_IGK
P1_I26_S1,P1_PRJEB26509.json,26_PRJEB26509_IGK
P1_I27_S1,P1_PRJEB26509.json,27_PRJEB26509_IGK
P1_I28_S1,P1_PRJEB26509.json,28_PRJEB26509_IGK
P1_I29_S1,P1_PRJEB26509.json,29_PRJEB26509_IGK
P1_I2_S1,P1_PRJEB26509.json,2_PRJEB26509_IGK
P1_I30_S1,P1_PRJEB26509.json,30_PRJEB26509_IGK
P1_I31_S1,P1_PRJEB26509.json,31_PRJEB26509_IGK
P1_I32_S1,P1_PRJEB26509.json,32_PRJEB26509_IGK
P1_I33_S1,P1_PRJEB26509.json,33_PRJEB26509_IGK
P1_I34_S1,P1_PRJEB26509.json,34_PRJEB26509_IGK
P1_I35_S1,P1_PRJEB26509.json,35_PRJEB26509_IGK
P1_I36_S1,P1_PRJEB26509.json,36_PRJEB26509_IGK
P1_I37_S1,P1_PRJEB26509.json,37_PRJEB26509_IGK
P1_I38_S1,P1_PRJEB26509.json,38_PRJEB26509_IGK
P1_I39_S1,P1_PRJEB26509.json,39_PRJEB26509_IGK
P1_I3_S1,P1_PRJEB26509.json,3_PRJEB26509_IGK
P1_I40_S1,P1_PRJEB26509.json,40_PRJEB26509_IGK
P1_I41_S1,P1_PRJEB26509.json,41_PRJEB26509_IGK
P1_I42_S1,P1_PRJEB26509.json,42_PRJEB26509_IGK
P1_I43_S1,P1_PRJEB26509.json,43_PRJEB26509_IGK
P1_I44_S1,P1_PRJEB26509.json,44_PRJEB26509_IGK
P1_I45_S1,P1_PRJEB26509.json,45_PRJEB26509_IGK
P1_I46_S1,P1_PRJEB26509.json,46_PRJEB26509_IGK
P1_I47_S1,P1_PRJEB26509.json,47_PRJEB26509_IGK
P1_I48_S1,P1_PRJEB26509.json,48_PRJEB26509_IGK
P1_I49_S1,P1_PRJEB26509.json,49_PRJEB26509_IGK
P1_I4_S1,P1_PRJEB26509.json,4_PRJEB26509_IGK
P1_I50_S1,P1_PRJEB26509.json,50_PRJEB26509_IGK
P1_I51_S1,P1_PRJEB26509.json,51_PRJEB26509_IGK
P1_I52_S1,P1_PRJEB26509.json,52_PRJEB26509_IGK
P1_I53_S1,P1_PRJEB26509.json,53_PRJEB26509_IGK
P1_I54_S1,P1_PRJEB26509.json,54_PRJEB26509_IGK
P1_I55_S1,P1_PRJEB26509.json,55_PRJEB26509_IGK
P1_I56_S1,P1_PRJEB26509.json,56_PRJEB26509_IGK
P1_I57_S1,P1_PRJEB26509.json,57_PRJEB26509_IGK
P1_I58_S1,P1_PRJEB26509.json,58_PRJEB26509_IGK
P1_I59_S1,P1_PRJEB26509.json,59_PRJEB26509_IGK
P1_I5_S1,P1_PRJEB26509.json,5_PRJEB26509_IGK
P1_I60_S1,P1_PRJEB26509.json,60_PRJEB26509_IGK
