vdjbase_name,airr_file,airr_repertoire_id
P1_I100_S1,P1_PRJEB26509.json,100_PRJEB26509_IGH
P1_I10_S1,P1_PRJEB26509.json,10_PRJEB26509_IGH
P1_I11_S1,P1_PRJEB26509.json,11_PRJEB26509_IGH
P1_I12_S1,P1_PRJEB26509.json,12_PRJEB26509_IGH
P1_I13_S1,P1_PRJEB26509.json,13_PRJEB26509_IGH
P1_I14_S1,P1_PRJEB26509.json,14_PRJEB26509_IGH
P1_I15_S1,P1_PRJEB26509.json,15_PRJEB26509_IGH
P1_I16_S1,P1_PRJEB26509.json,16_PRJEB26509_IGH
P1_I17_S1,P1_PRJEB26509.json,17_PRJEB26509_IGH
P1_I18_S1,P1_PRJEB26509.json,18_PRJEB26509_IGH
P1_I19_S1,P1_PRJEB26509.json,19_PRJEB26509_IGH
P1_I1_S1,P1_PRJEB26509.json,1_PRJEB26509_IGH
P1_I20_S1,P1_PRJEB26509.json,20_PRJEB26509_IGH
P1_I21_S1,P1_PRJEB26509.json,21_PRJEB26509_IGH
P1_I22_S1,P1_PRJEB26509.json,22_PRJEB26509_IGH
P1_I23_S1,P1_PRJEB26509.json,23_PRJEB26509_IGH
P1_I24_S1,P1_PRJEB26509.json,24_PRJEB26509_IGH
P1_I25_S1,P1_PRJEB26509.json,25_PRJEB26509_IGH
P1_I26_S1,P1_PRJEB26509.json,26_PRJEB26509_IGH
P1_I27_S1,P1_PRJEB26509.json,27_PRJEB26509_IGH
P1_I28_S1,P1_PRJEB26509.json,28_PRJEB26509_IGH
P1_I29_S1,P1_PRJEB26509.json,29_PRJEB26509_IGH
P1_I2_S1,P1_PRJEB26509.json,2_PRJEB26509_IGH
P1_I30_S1,P1_PRJEB26509.json,30_PRJEB26509_IGH
P1_I31_S1,P1_PRJEB26509.json,31_PRJEB26509_IGH
P1_I32_S1,P1_PRJEB26509.json,32_PRJEB26509_IGH
P1_I33_S1,P1_PRJEB26509.json,33_PRJEB26509_IGH
P1_I34_S1,P1_PRJEB26509.json,34_PRJEB26509_IGH
P1_I35_S1,P1_PRJEB26509.json,35_PRJEB26509_IGH
P1_I36_S1,P1_PRJEB26509.json,36_PRJEB26509_IGH
P1_I37_S1,P1_PRJEB26509.json,37_PRJEB26509_IGH
P1_I38_S1,P1_PRJEB26509.json,38_PRJEB26509_IGH
P1_I39_S1,P1_PRJEB26509.json,39_PRJEB26509_IGH
P1_I3_S1,P1_PRJEB26509.json,3_PRJEB26509_IGH
P1_I40_S1,P1_PRJEB26509.json,40_PRJEB26509_IGH
P1_I41_S1,P1_PRJEB26509.json,41_PRJEB26509_IGH
P1_I42_S1,P1_PRJEB26509.json,42_PRJEB26509_IGH
P1_I43_S1,P1_PRJEB26509.json,43_PRJEB26509_IGH
P1_I44_S1,P1_PRJEB26509.json,44_PRJEB26509_IGH
P1_I45_S1,P1_PRJEB26509.json,45_PRJEB26509_IGH
P1_I46_S1,P1_PRJEB26509.json,46_PRJEB26509_IGH
P1_I47_S1,P1_PRJEB26509.json,47_PRJEB26509_IGH
P1_I48_S1,P1_PRJEB26509.json,48_PRJEB26509_IGH
P1_I49_S1,P1_PRJEB26509.json,49_PRJEB26509_IGH
P1_I4_S1,P1_PRJEB26509.json,4_PRJEB26509_IGH
P1_I50_S1,P1_PRJEB26509.json,50_PRJEB26509_IGH
P1_I51_S1,P1_PRJEB26509.json,51_PRJEB26509_IGH
P1_I52_S1,P1_PRJEB26509.json,52_PRJEB26509_IGH
P1_I53_S1,P1_PRJEB26509.json,53_PRJEB26509_IGH
P1_I54_S1,P1_PRJEB26509.json,54_PRJEB26509_IGH
P1_I55_S1,P1_PRJEB26509.json,55_PRJEB26509_IGH
P1_I56_S1,P1_PRJEB26509.json,56_PRJEB26509_IGH
P1_I57_S1,P1_PRJEB26509.json,57_PRJEB26509_IGH
P1_I58_S1,P1_PRJEB26509.json,58_PRJEB26509_IGH
P1_I59_S1,P1_PRJEB26509.json,59_PRJEB26509_IGH
P1_I5_S1,P1_PRJEB26509.json,5_PRJEB26509_IGH
P1_I60_S1,P1_PRJEB26509.json,60_PRJEB26509_IGH
P1_I61_S1,P1_PRJEB26509.json,61_PRJEB26509_IGH
P1_I62_S1,P1_PRJEB26509.json,62_PRJEB26509_IGH
P1_I63_S1,P1_PRJEB26509.json,63_PRJEB26509_IGH
P1_I64_S1,P1_PRJEB26509.json,64_PRJEB26509_IGH
P1_I65_S1,P1_PRJEB26509.json,65_PRJEB26509_IGH
P1_I66_S1,P1_PRJEB26509.json,66_PRJEB26509_IGH
P1_I67_S1,P1_PRJEB26509.json,67_PRJEB26509_IGH
P1_I68_S1,P1_PRJEB26509.json,68_PRJEB26509_IGH
P1_I69_S1,P1_PRJEB26509.json,69_PRJEB26509_IGH
P1_I6_S1,P1_PRJEB26509.json,6_PRJEB26509_IGH
P1_I70_S1,P1_PRJEB26509.json,70_PRJEB26509_IGH
P1_I71_S1,P1_PRJEB26509.json,71_PRJEB26509_IGH
P1_I72_S1,P1_PRJEB26509.json,72_PRJEB26509_IGH
P1_I73_S1,P1_PRJEB26509.json,73_PRJEB26509_IGH
P1_I74_S1,P1_PRJEB26509.json,74_PRJEB26509_IGH
P1_I75_S1,P1_PRJEB26509.json,75_PRJEB26509_IGH
P1_I76_S1,P1_PRJEB26509.json,76_PRJEB26509_IGH
P1_I77_S1,P1_PRJEB26509.json,77_PRJEB26509_IGH
P1_I78_S1,P1_PRJEB26509.json,78_PRJEB26509_IGH
P1_I79_S1,P1_PRJEB26509.json,79_PRJEB26509_IGH
P1_I7_S1,P1_PRJEB26509.json,7_PRJEB26509_IGH
P1_I80_S1,P1_PRJEB26509.json,80_PRJEB26509_IGH
P1_I81_S1,P1_PRJEB26509.json,81_PRJEB26509_IGH
P1_I82_S1,P1_PRJEB26509.json,82_PRJEB26509_IGH
P1_I83_S1,P1_PRJEB26509.json,83_PRJEB26509_IGH
P1_I84_S1,P1_PRJEB26509.json,84_PRJEB26509_IGH
P1_I85_S1,P1_PRJEB26509.json,85_PRJEB26509_IGH
P1_I86_S1,P1_PRJEB26509.json,86_PRJEB26509_IGH
P1_I87_S1,P1_PRJEB26509.json,87_PRJEB26509_IGH
P1_I88_S1,P1_PRJEB26509.json,88_PRJEB26509_IGH
P1_I89_S1,P1_PRJEB26509.json,89_PRJEB26509_IGH
P1_I8_S1,P1_PRJEB26509.json,8_PRJEB26509_IGH
P1_I90_S1,P1_PRJEB26509.json,90_PRJEB26509_IGH
P1_I91_S1,P1_PRJEB26509.json,91_PRJEB26509_IGH
P1_I92_S1,P1_PRJEB26509.json,92_PRJEB26509_IGH
P1_I93_S1,P1_PRJEB26509.json,93_PRJEB26509_IGH
P1_I94_S1,P1_PRJEB26509.json,94_PRJEB26509_IGH
P1_I95_S1,P1_PRJEB26509.json,95_PRJEB26509_IGH
P1_I96_S1,P1_PRJEB26509.json,96_PRJEB26509_IGH
P1_I97_S1,P1_PRJEB26509.json,97_PRJEB26509_IGH
P1_I99_S1,P1_PRJEB26509.json,99_PRJEB26509_IGH
P1_I9_S1,P1_PRJEB26509.json,9_PRJEB26509_IGH
P10_I2_S2,P10_PRJNA248475.json,M2_cln
P10_I2_S3,P10_PRJNA248475.json,M2_lesion
P10_I3_S2,P10_PRJNA248475.json,M3_cln
P10_I3_S3,P10_PRJNA248475.json,M3_lesion
P10_I4_S2,P10_PRJNA248475.json,M4_cln
P10_I4_S3,P10_PRJNA248475.json,M4_lesion
P10_I5_S2,P10_PRJNA248475.json,M5_cln
P10_I5_S3,P10_PRJNA248475.json,M5_lesion
P11_I10_S1,P11_PRJEB58016.json,I10_PRJEB58016_IGH
P11_I11_S1,P11_PRJEB58016.json,I11_PRJEB58016_IGH
P11_I12_S1,P11_PRJEB58016.json,I12_PRJEB58016_IGH
P11_I13_S1,P11_PRJEB58016.json,I13_PRJEB58016_IGH
